average_stars,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,elite,fans,funny,name,useful,user_id,yelping_since
3.44,71,3,71,29,0,31,117,94,306,5,61,1400,"2012,2015",52,583,Matze,3130,5hfKGSTC6gkamIfl6BZm6A,2012-10-04 09:49:01
4.02,4519,721,4519,3838,251,317,2721,528,7572,370,1137,24589,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1094,21647,Colleen,33675,5MCBLBxr10NLUKZ4AboAMg,2006-09-07 19:27:19
3.87,936,26,936,864,54,83,432,25,915,49,319,7735,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",348,4689,Carol,12216,ZYZNcugF3xUEGyLOVGiZ0Q,2007-01-04 14:48:42
3.63,864,73,864,1267,30,73,276,46,847,53,268,5660,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",141,5498,Vicky,7364,re3AdczLFP4D7xwI6DkBNA,2006-10-06 00:39:34
2.7,256,8,256,107,11,57,118,6,468,31,98,2648,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",182,1707,Hank,5723,nnwBdqGHIAJQ5QX9lHOtrQ,2008-02-18 15:21:13
3.24,13015,212,13015,7630,327,833,3195,3803,11579,936,5670,31736,"2009,2010,2011,2012,2013,2014,2015,2016,2017",1004,25191,Anthony,36969,w-w-k-QXosIKQ8HQVwU6IQ,2009-03-13 21:18:34
3.54,506,25,506,298,26,41,140,96,312,21,195,5574,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",289,4132,Shannon,8744,NeXRy1C7PxS7bvIcQ3SymA,2006-10-12 19:21:42
3.66,134,0,134,82,0,34,42,5,137,5,119,1716,"2010,2011,2012,2013,2014,2015,2016,2017,2018",139,1148,Eric,3533,DICLJDdq0HpvOVYR5mB4gA,2010-01-12 19:12:18
3.89,1859,9,1859,970,8,120,638,1457,1353,48,608,36081,"2014,2015,2016,2017,2018",305,21461,Dave,43324,a4mO387_O77ebmv8AlQB3A,2013-06-16 21:32:47
3.81,451,7,451,134,1,57,226,125,332,17,152,4608,"2012,2013,2014,2015,2016,2017,2018",180,3657,Vic,7999,3UIa8YVjETNwJwnOl4SEdg,2010-09-04 20:32:12
3.82,151,11,151,91,1,37,83,113,160,12,111,5045,"2013,2014,2015,2016,2017,2018",269,3044,Carmen,7060,Wk3Ezdn1ChOPZYp7rkko8g,2011-06-27 18:50:13
4.02,2895,160,2895,2356,95,214,1186,1573,3504,169,978,32330,"2010,2011,2012,2013,2014,2015,2016,2017,2018",1090,20241,Sarah,37788,QnIrewrXxFnssw_gG1gF-Q,2010-07-10 18:54:05
3.78,1721,24,1721,827,91,204,498,503,2124,79,1415,25352,"2011,2012,2013,2014,2015,2016,2017,2018",915,19268,Randy,31633,ZIOCmdFaMIF56FR-nWr_2A,2011-01-07 15:20:32
3.94,1577,212,1577,1293,101,134,1317,168,2141,76,409,12305,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",880,8658,Andrea,16868,om5ZiponkpRqUNa3pVPiRg,2006-01-18 02:35:04
4.39,225,2,225,102,2,22,85,63,224,10,84,4916,"2014,2015,2016,2017,2018",140,2827,Charley,6144,3XzhO2aJdvVtYhKOCJsPrg,2011-01-20 18:04:00
3.57,65,3,65,41,5,10,37,11,79,10,58,1696,"2011,2012,2013,2014,2015,2016,2017,2018",149,1245,Danielle,3966,taPq7IxYskEWH7Vfc261pQ,2010-03-13 05:30:20
3.6,10680,98,10680,5392,252,747,1735,11379,11289,799,5977,66321,"2010,2011,2012,2013,2014,2015,2016,2017,2018",1169,57628,Michael,74326,AbMjnKOwg736fcIu8apuyQ,2010-05-16 19:27:37
3.88,3233,600,3233,3477,142,292,1696,347,2360,222,972,23318,"2006,2007,2008,2010",1357,26001,Stephy,24988,B7ecAeAIrXg7sgmabS38pg,2006-05-12 06:07:32
3.59,257,10,257,81,2,16,154,39,203,14,115,2416,"2011,2012,2013,2014,2015,2016,2017,2018",123,1828,Marlon,4128,82dCHyU-ANOgdhxUgZsUeg,2008-12-31 11:00:10
3.59,114,2,114,42,3,25,69,3,159,7,104,2300,"2010,2011,2012",174,1555,Solomon,4704,1P9BpFZ_d3PGCdytDTYJCw,2008-08-13 02:56:02
3.32,553,14,553,290,6,67,298,66,669,29,244,5282,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",210,5108,Jacob,10060,1xJwMqmvVXPwY7yEVQIc-A,2006-01-19 23:04:37
4.35,4069,181,4069,3404,107,332,1567,4183,5672,439,2484,47476,"2010,2011,2012,2013,2014,2015,2016,2017,2018",1055,38610,Michelangelo,51259,3mNz5nQFTIBQm0oU5mBR0w,2010-07-07 00:38:05
3.75,172,5,172,178,0,14,112,103,94,5,175,4531,"2013,2014,2015,2016,2017,2018",147,3272,Dianna,6307,Um5bfs5DH6eizgjH3xZsvg,2011-12-05 05:09:41
3.44,546,39,546,534,8,29,124,194,200,41,548,5846,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",258,4968,Jess,8577,5gbkhlWANGVzQYi_0m3vOQ,2008-03-06 20:02:53
3.57,907,30,907,629,17,86,283,160,775,78,448,4370,"2011,2012,2013,2014,2015,2016,2017,2018",164,3441,Denise,6855,iCYMf_sHRevmzWg8la-LVw,2008-04-18 01:20:33
3.61,2267,18,2267,711,16,84,361,218,2861,59,274,13924,"2012,2013,2014,2015,2016,2017,2018",251,8340,Jason,16349,eSlOI3GhroEtcbaD_nFXJQ,2011-05-28 21:42:38
3.63,130,14,130,84,9,22,50,17,126,18,39,1336,"2009,2010,2011,2012,2013,2014,2015,2016,2017",147,779,Lili,2822,kw4Q3Qfj_8WxjTNExSi1hw,2009-02-19 04:23:20
3.56,2371,51,2371,2474,75,189,483,1105,1525,167,1014,13068,"2010,2011,2012,2013,2014,2015,2016,2017,2018",379,10525,Jenny,15936,5BpJEC8YVi80ecWT5CtlfQ,2008-09-11 01:51:00
4.01,162,6,162,75,2,17,71,41,142,14,123,3476,"2011,2012,2013,2014,2015,2016,2017,2018",206,3412,Pegah,5665,kKTcYPz47sCDH1_ylnE4ZQ,2010-09-26 23:14:37
3.56,25,3,25,7,1,9,12,7,33,13,8,635,,62,910,Inigo,1700,UE-rXhA8njNnADFkDA3EuA,2006-03-14 22:23:23
3.98,2957,272,2957,3314,31,206,1300,1497,1353,206,1175,18667,"2010,2011,2012",424,15521,Tram,19997,0QeJC2inz6P-OVzROU_LNw,2009-03-10 13:55:45
3.43,76,1,76,61,2,11,37,88,66,7,104,3668,"2012,2013,2014,2015,2016,2017,2018",146,2480,Amy,6607,76vIFZcC7owykCBjMfGVXg,2011-08-17 23:05:32
4.13,11538,1560,11538,9732,2374,3928,7515,1238,10664,6473,6497,31488,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",219,20929,Toni,33708,UXbCcmkYGl3DH_Py5UOtbQ,2007-10-04 05:06:32
3.95,262,63,262,245,17,26,137,11,128,15,63,1688,"2006,2007,2008,2009,2010,2011,2012,2013,2014",91,557,Helen,3236,Rx7DNBmPPShVjlcQidGuTw,2006-04-24 05:03:57
3.41,127,0,127,85,4,7,64,39,90,0,60,1278,"2011,2012,2013,2014,2015,2016,2017,2018",108,1316,Edward,3170,tgrs5VQ6thhouiEtMU-N_w,2011-01-10 09:33:16
3.62,1077,2,1077,298,0,74,488,572,906,28,607,19740,"2013,2014,2015,2016,2017,2018",439,13214,Gerald,28188,-G7Zkl1wIWBBmD0KRy_sCw,2012-12-16 23:26:39
3.63,324,8,324,180,10,23,225,53,414,24,218,6589,"2011,2012,2013,2014,2015,2016,2017,2018",164,5668,Joanna,9960,PLOYtrCMUFPHQe2IbYAd5g,2011-01-09 22:07:45
3.75,1648,16,1648,661,9,57,359,575,2152,22,608,13334,"2010,2011,2012,2013,2014,2015,2016,2017,2018",283,7845,Norm,18768,PKEzKWv_FktMm2mGPjwd0Q,2008-12-12 02:30:13
4.29,150,1,150,64,17,19,117,4,265,4,92,2397,"2012,2013,2014,2015,2016,2017,2018",117,1019,Stephen,3944,UVUIi0q38pAvsfuEEppe0Q,2011-04-08 22:19:26
3.62,23733,2401,23733,23891,1372,2113,4717,12732,10914,3882,7022,36015,"2007,2008,2009",585,28478,Lolia,40300,NOUfyJW-BAo_-Cbfo8edww,2007-05-13 03:31:10
3.97,5046,339,5046,2597,118,282,2273,593,8924,272,1344,28591,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",2383,27768,Ruggy,35029,iLjMdZi0Tm7DQxX1C1_2dg,2007-07-31 14:47:00
3.34,501,12,501,280,58,37,392,67,645,42,240,2364,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",150,2489,Chad,5240,62GNFh5FySkA3MbrQmnqvg,2004-12-19 20:44:21
4.08,1325,11,1325,781,38,75,785,1036,1351,23,597,15382,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",470,13094,Bill,19570,zUKeZNu4tCG56xjwWH54Vw,2008-12-05 15:54:54
3.98,6449,143,6449,5216,130,408,1215,745,4321,531,2185,20589,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",204,15412,Adrienne,22634,37HswRimgBEf7_US-c3CDA,2007-02-21 02:31:17
4.26,6519,363,6519,5809,101,532,2352,2150,5263,491,1622,17321,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",496,11930,Janet,19417,sOzeK0dE0BYx4Mc8dmoenQ,2008-03-27 13:50:30
3.85,225,1,225,125,5,19,123,23,205,12,67,3757,"2010,2011,2012,2013,2014,2015,2016,2017,2018",170,2865,Rob,6072,1O638BDK_fWuxgTVJwff-A,2008-01-02 05:38:23
4.02,888,20,888,427,21,58,471,137,1401,34,413,7263,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",163,4792,Jen,11571,0Igx-a1wAstiBDerGxXk2A,2009-01-14 18:31:29
3.95,290,2,290,130,5,24,90,34,267,28,149,11220,"2010,2011,2012,2013,2014,2015,2016,2017,2018",181,8015,Curt,15074,WWWujmZ95y0a2RR5_kQ9sw,2009-09-03 02:52:55
3.79,4936,412,4936,3679,239,274,1579,1424,4988,351,778,17509,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1010,12720,Dave,21056,6s-g2vFu12OemhiK3FJuOQ,2007-02-14 14:51:38
3.46,252,2,252,85,7,19,175,120,411,6,162,5784,"2015,2016,2017,2018",151,4101,Madelyn,8339,uWhC9eof98zPkvsalgaqJw,2014-01-16 19:40:56
3.92,2790,108,2790,1358,140,169,1377,260,4494,183,1017,18668,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",947,16218,Don,26580,Pf7FI0OukC_CEcCz0ZxoUw,2007-07-10 21:19:17
3.87,3411,58,3411,5928,24,149,1339,3910,2312,198,1116,30626,"2013,2014,2015,2016,2017,2018",411,19182,Karen,34815,DK57YibC5ShBmqQl97CKog,2006-01-28 01:56:23
3.72,23,3,23,15,2,3,26,20,41,2,28,853,"2013,2014,2015,2016,2017,2018",94,1065,Yonnie,2078,5yGgNgkkNvsv6dYiA_whFw,2013-01-11 04:59:01
3.95,111,18,111,49,1,19,82,59,99,10,73,2835,"2011,2012,2013,2014,2015,2016,2017,2018",139,1728,Brenda,5017,I9vkjKs1O5Ctf5gy0ry4yg,2009-09-01 04:15:55
3.38,51,3,51,19,7,4,28,12,24,3,12,498,,48,379,Jboogie,1502,s3kRi7b8t2sdtYcsMbqlJA,2005-09-24 01:41:01
3.71,801,51,801,499,33,75,220,80,955,39,406,4525,"2010,2011,2012,2013,2014,2015,2016,2017,2018",201,3744,Mimi,6914,9akppeqi5dnaIqPyJ75aCw,2009-04-01 04:10:42
3.34,4767,103,4767,4883,136,609,1699,1733,2786,337,2464,42421,"2009,2010,2012,2013,2014,2015,2016,2017,2018",328,39198,Dani,47100,8ZryN_S-n48g6rsa3W3QtQ,2008-10-27 21:47:03
3.21,1278,93,1278,1163,37,128,667,394,814,108,596,10503,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",448,8784,Ruth,14297,M9puGD3VU5FuhE60HklCvg,2006-11-12 23:50:50
3.9,1014,8,1014,326,17,115,556,490,2051,45,487,13438,"2012,2013,2014,2015,2016,2017,2018",292,10628,Dan,16886,cVrM2BvOvPV0Vi_rC8kepQ,2011-10-09 23:43:37
3.67,181,2,181,87,2,23,82,4,189,12,82,3513,"2010,2011,2012,2013,2014,2015,2016,2017,2018",137,1952,Rob,5181,IyIsFkVY48JWa01inv-7zA,2008-03-27 14:48:51
3.82,11729,1459,11729,19213,366,1053,3109,7228,6819,1599,4405,38412,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",625,35226,Janice,41674,Z88N6qly3Dp5C06XbZ9IMQ,2006-10-22 06:40:30
3.99,11673,261,11673,7220,157,726,4659,4545,13077,949,3134,19958,"2009,2010,2011,2012,2013,2014,2015,2016,2017",388,14011,Yee Gan,24264,OapLWhQI4_Gm32-nYbHmUA,2007-05-23 14:20:43
3.69,852,6,852,434,40,50,436,127,980,49,430,10569,"2010,2011,2012,2013,2014,2015,2016,2017,2018",587,7920,Scott,14086,CIZGlEw-Bp0rmkP8M6yQ9Q,2009-09-04 16:36:46
3.34,106,5,106,68,0,17,32,142,107,18,65,9767,"2017,2018",190,4652,Maruko,11400,0zDHiDbj79uBOy3OAcE25A,2011-09-29 23:14:56
3.6,329,26,329,154,3,45,189,14,307,24,68,2164,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",92,2256,Rebecca,4504,ybJkYYEBvFGVb-or4i9_oA,2007-05-17 22:56:02
3.67,152,6,152,109,5,18,72,83,153,14,79,8111,"2011,2012,2013,2014,2015,2016,2017,2018",188,6749,Juan,10403,U-blmCm_qUbibUUgqDSB_g,2010-09-20 06:51:30
3.86,2199,324,2199,1901,270,379,950,519,2313,360,1057,10203,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",319,8317,Emily,12637,ILvXe0EWKAH45eyUUxlv0g,2008-01-09 17:21:41
3.64,2193,92,2193,2176,53,165,1650,460,4139,73,629,15813,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",513,10940,MICHELLE,19482,6ce1NSAUt1Kr7efrLI8XQA,2009-06-01 22:51:19
3.31,1262,18,1262,704,27,82,342,18,696,82,299,6190,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",204,5607,Franco,9940,EO1Cz15wYnHQ0aGc9T6tzw,2007-05-10 14:52:11
3.74,3010,119,3010,1627,133,249,1996,205,8144,209,1122,19565,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1137,20487,Johnny,25889,cufhYFdyrUAt4SWe-m0grQ,2008-02-02 07:18:52
4.23,7,0,7,0,0,4,12,1,29,2,7,339,"2016,2017,2018",39,186,Kent,864,ZRnsUs9q6DbeJbOLjCY4ZA,2010-01-01 02:56:47
3.51,239,2,239,86,1,8,120,10,364,10,88,7650,,150,5371,Sadri,8392,ILk4dRvuBf6Axfq3qBkoxw,2009-06-09 21:19:48
3.29,1773,86,1773,1091,164,191,955,100,2872,244,609,8444,,213,7882,John,9895,Zl1fJNTzNULZiqBRShxUYA,2008-02-03 21:14:32
4.25,80,2,80,30,1,10,34,53,60,3,41,4214,"2015,2016,2017,2018",259,2063,Arnel,5754,Ryxj0u0AW3mRsRypdYli2A,2010-04-30 17:40:49
3.37,363,60,363,233,13,39,288,27,445,36,61,2486,"2007,2008,2009,2010,2011",107,2564,Ro,5390,fHH6b6yDm1PSoC0G7VPRdA,2007-07-16 21:34:24
3.52,573,1,573,265,6,31,242,325,686,19,191,6065,"2011,2012,2013,2014,2015,2016,2017,2018",270,5652,Bill,8958,wzyGNvArcpUjZauRWFrKHA,2011-05-15 22:26:08
3.49,77,2,77,35,0,6,15,0,33,3,10,543,"2008,2009",31,445,Maximillian,847,VgtcRwMPiAEeuPsayXB4kA,2006-12-03 07:18:08
3.79,144,12,144,57,36,29,74,40,114,10,126,2352,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",267,1303,Matt,5462,M1cMsRL4L7IUr9RILDywEQ,2006-10-24 22:40:11
