ID,Date,Element,Data_Value
USC00089707,2007-03-26,TMIN,167
USC00089707,2005-10-11,TMAX,306
USC00089707,2008-02-01,TMIN,139
USC00084500,2014-08-29,TMAX,339
USC00089707,2007-03-26,TMAX,294
USC00084625,2005-09-10,TMAX,306
USC00084500,2013-05-02,TMAX,244
USC00089707,2006-12-11,TMAX,250
USC00083026,2006-03-24,TMAX,239
USW00012876,2012-03-31,TMAX,294
USW00012876,2005-02-03,TMAX,250
USC00085973,2008-03-14,TMAX,250
USC00085973,2006-10-14,TMIN,189
USW00012876,2012-03-31,TMIN,189
USC00084625,2010-09-29,TMIN,222
USC00085973,2011-11-07,TMIN,156
USC00084625,2013-11-14,TMAX,194
USC00085973,2014-12-10,TMAX,194
USW00012876,2012-04-29,TMAX,300
USC00089707,2007-08-09,TMAX,356
USC00089707,2006-09-13,TMIN,228
USC00089707,2006-11-21,TMIN,111
USC00083026,2009-08-05,TMAX,344
USW00012876,2008-08-19,TMIN,233
USC00084621,2015-11-15,TMIN,144
USW00012876,2005-04-05,TMIN,150
USC00084625,2014-06-20,TMIN,217
USW00012876,2011-12-19,TMAX,244
USC00084621,2015-07-17,TMAX,333
USC00083026,2008-04-19,TMIN,106
USC00083026,2005-04-26,TMAX,311
USC00084500,2014-10-03,TMAX,311
USC00084625,2005-10-01,TMIN,228
USC00089707,2005-10-11,TMIN,239
USC00083026,2009-11-06,TMAX,278
USC00085973,2006-04-27,TMIN,217
USC00085973,2013-05-14,TMAX,300
USW00012876,2007-06-08,TMAX,311
USC00084621,2015-07-17,TMIN,217
USC00084625,2015-02-08,TMIN,72
USC00084625,2007-01-03,TMAX,189
USC00085973,2010-03-01,TMIN,11
USC00085973,2014-09-15,TMIN,217
USC00085973,2006-03-17,TMAX,289
USW00012876,2006-07-10,TMIN,228
USC00085973,2008-06-03,TMIN,239
USW00012876,2007-12-07,TMIN,117
USC00085973,2008-01-24,TMIN,150
USC00085973,2008-04-15,TMIN,67
USC00089707,2005-03-12,TMAX,233
USW00012876,2006-07-10,TMAX,322
USW00012876,2014-11-23,TMIN,211
USC00085973,2008-06-13,TMAX,328
USC00085973,2008-06-13,TMIN,211
USC00085973,2013-03-16,TMIN,56
USC00084625,2014-09-04,TMAX,328
USC00084500,2011-07-29,TMIN,239
USC00083026,2008-12-03,TMAX,211
USW00012876,2005-06-05,TMIN,222
USC00084625,2015-11-25,TMAX,244
USC00083026,2009-11-06,TMIN,156
USW00012876,2008-03-02,TMAX,261
USC00089707,2006-01-09,TMAX,233
USC00085973,2015-03-18,TMIN,222
USC00085973,2010-05-28,TMIN,200
USC00084500,2014-11-02,TMIN,72
USC00085973,2015-04-16,TMIN,194
USW00012876,2011-07-18,TMIN,239
USW00012876,2012-05-27,TMAX,344
USW00012876,2008-07-06,TMAX,328
USC00085973,2008-01-24,TMAX,267
USC00084625,2012-07-08,TMAX,344
USW00012876,2008-03-08,TMIN,83
USC00084625,2012-11-17,TMAX,200
USW00012876,2005-04-16,TMIN,117
USC00085973,2006-03-04,TMAX,278
USW00012876,2005-04-16,TMAX,228
USW00012876,2010-06-24,TMIN,250
USC00085973,2006-03-17,TMIN,122
USC00085973,2008-04-15,TMAX,222
USC00089707,2007-07-04,TMIN,228
USW00012876,2008-03-08,TMAX,217
USC00085973,2011-05-31,TMAX,339
USW00012876,2014-11-23,TMAX,294
USW00012876,2012-09-07,TMIN,222
USC00084625,2008-03-08,TMAX,300
USC00084500,2013-05-02,TMIN,167
USW00012876,2009-10-30,TMAX,311
USC00084500,2012-06-25,TMAX,278
USW00012876,2009-02-20,TMIN,67
USC00084500,2015-01-08,TMAX,206
USC00084625,2005-12-05,TMAX,244
USC00089707,2008-02-01,TMAX,256
USC00085973,2015-06-29,TMIN,228
USC00089707,2006-09-06,TMAX,317
USW00012876,2009-08-17,TMAX,344
USC00084625,2013-05-03,TMAX,250
USC00084625,2011-07-20,TMAX,322
USC00085973,2011-10-19,TMAX,289
USW00012876,2007-09-29,TMAX,322
USW00012876,2009-11-01,TMAX,317
USC00083026,2006-10-12,TMAX,289
USC00085973,2015-11-25,TMAX,256
USC00085973,2013-04-08,TMAX,300
USC00089707,2005-12-21,TMAX,161
USC00084500,2012-10-13,TMAX,283
USC00083026,2006-10-12,TMIN,183
USC00084625,2015-01-17,TMIN,78
USW00012876,2010-06-13,TMIN,239
USC00084500,2014-06-27,TMIN,211
USC00083026,2008-02-22,TMIN,161
USC00084625,2011-07-20,TMIN,211
USW00012876,2005-05-03,TMIN,183
USC00084625,2009-03-23,TMAX,239
USC00084625,2014-04-17,TMAX,250
USC00085973,2009-04-11,TMIN,167
USC00085973,2005-05-16,TMIN,183
USW00012876,2007-09-29,TMIN,233
USW00012876,2006-03-07,TMIN,111
USC00085973,2011-04-06,TMIN,83
USW00012876,2011-05-26,TMAX,339
USW00012876,2014-02-28,TMAX,217
USC00084625,2008-09-14,TMAX,339
USC00083026,2008-08-30,TMAX,322
USW00012876,2006-04-22,TMIN,211
USC00085973,2006-03-21,TMAX,311
USC00083026,2008-10-16,TMIN,178
USC00084625,2013-07-26,TMIN,222
USC00084625,2008-08-15,TMIN,233
USW00012876,2007-10-19,TMIN,233
USC00084625,2008-08-15,TMAX,278
USC00085973,2006-03-25,TMIN,33
USC00085973,2013-08-17,TMIN,228
USC00089707,2005-12-21,TMIN,72
USW00012876,2007-10-19,TMAX,328
USC00083026,2005-10-14,TMAX,283
USC00084500,2011-10-21,TMAX,211
USC00089707,2005-01-18,TMIN,39
USC00089707,2005-07-31,TMAX,333
USC00083026,2005-12-13,TMAX,178
USC00085973,2014-01-21,TMAX,239
USC00083026,2005-06-30,TMAX,317
USC00083026,2010-02-25,TMAX,228
USC00084625,2012-05-29,TMIN,217
USC00089707,2006-05-28,TMIN,222
USC00084625,2012-05-29,TMAX,306
USC00083026,2006-12-03,TMAX,283
USC00083026,2010-02-25,TMIN,56
USC00085973,2015-09-02,TMIN,239
USW00012876,2011-01-13,TMIN,-5
USC00085973,2011-10-19,TMIN,228
USW00012876,2009-08-17,TMIN,244
USC00085973,2008-10-19,TMAX,267
USC00085973,2010-07-13,TMIN,228
USW00012876,2006-10-02,TMAX,322
USW00012876,2010-09-23,TMIN,233
USC00084500,2013-04-28,TMIN,156
USW00012876,2014-08-01,TMIN,244
USC00084625,2013-10-28,TMAX,272
USC00084625,2013-10-28,TMIN,117
USC00089707,2005-07-31,TMIN,239
USW00012876,2010-01-21,TMAX,278
USC00084625,2012-12-22,TMIN,39
USC00084625,2008-08-20,TMAX,244
USC00085973,2007-04-11,TMAX,317
USC00084625,2015-01-17,TMAX,194
USC00084500,2011-10-21,TMIN,100
USC00085973,2010-05-28,TMAX,333
USC00084500,2014-07-15,TMIN,217
USC00085973,2008-10-19,TMIN,156
USC00083026,2005-07-03,TMIN,239
USC00085973,2011-05-29,TMIN,239
USC00085973,2006-12-29,TMAX,256
USC00083026,2005-07-03,TMAX,333
USW00012876,2005-07-15,TMAX,339
USW00012876,2005-07-15,TMIN,244
USC00083026,2005-09-05,TMIN,256
USW00012876,2008-12-09,TMAX,261
USC00083026,2008-08-30,TMIN,239
USC00085973,2013-04-10,TMAX,322
USW00012876,2010-01-21,TMIN,161
USC00084625,2012-12-22,TMAX,167
USC00083026,2009-05-07,TMAX,333
USC00083026,2008-02-22,TMAX,256
USC00084500,2015-10-13,TMAX,289
USC00083026,2008-10-16,TMAX,289
USC00085973,2005-05-16,TMAX,317
USC00085973,2012-10-29,TMIN,100
USC00084625,2014-12-28,TMIN,200
USW00012876,2007-07-29,TMAX,322
USC00085973,2010-03-04,TMAX,150
USW00012876,2015-03-04,TMIN,178
USC00085973,2015-12-10,TMIN,150
USC00085973,2008-12-02,TMIN,78
USC00084625,2013-03-10,TMIN,111
USC00083026,2008-01-16,TMIN,56
USC00085973,2009-09-20,TMAX,344
USC00085973,2015-12-10,TMAX,261
USC00085973,2010-03-01,TMAX,222
USC00084625,2008-02-26,TMIN,111
USW00012876,2015-03-04,TMAX,300
USC00085973,2011-04-06,TMAX,261
USC00084625,2013-03-10,TMAX,244
USC00085973,2010-08-29,TMIN,228
USC00084625,2013-07-26,TMAX,294
USC00089707,2008-01-13,TMIN,183
USC00085973,2009-12-24,TMAX,239
USW00012876,2014-11-26,TMAX,222
USC00085973,2009-12-24,TMIN,122
USC00085973,2010-09-29,TMIN,211
USW00012876,2010-12-08,TMAX,156
USW00012876,2005-12-21,TMIN,72
USC00084621,2015-04-01,TMIN,150
USC00084625,2006-09-20,TMIN,222
USW00012876,2013-04-10,TMIN,161
USC00084625,2011-10-29,TMIN,139
USW00012876,2006-05-13,TMIN,161
USC00085973,2006-02-19,TMAX,283
USC00089707,2008-02-06,TMAX,283
USC00085973,2009-09-20,TMIN,228
USC00085973,2006-02-19,TMIN,117
USC00085973,2008-03-22,TMIN,133
USC00084625,2010-05-18,TMIN,206
USC00084625,2008-02-26,TMAX,272
USC00085973,2013-01-16,TMIN,144
USC00085973,2013-01-16,TMAX,289
USC00084625,2011-10-29,TMAX,233
USC00084500,2013-04-06,TMIN,106
USC00084625,2014-12-28,TMAX,278
USC00089707,2007-03-02,TMAX,294
USC00089707,2008-02-06,TMIN,167
USW00012876,2005-04-13,TMAX,272
USC00084625,2006-07-08,TMIN,217
USC00085973,2010-07-01,TMIN,228
USC00085973,2010-07-01,TMAX,317
USC00085973,2013-08-15,TMIN,228
USC00085973,2014-11-05,TMAX,272
USW00012876,2015-12-02,TMIN,194
USW00012876,2006-04-22,TMAX,317
USC00085973,2007-07-30,TMAX,344
USC00084500,2015-05-05,TMIN,144
USC00085973,2007-04-30,TMIN,194
USC00085973,2007-04-11,TMIN,156
USC00083026,2008-03-20,TMAX,294
USC00085973,2006-03-21,TMIN,161
USC00085973,2010-07-02,TMIN,222
USC00085973,2007-04-30,TMAX,322
USC00083026,2010-03-31,TMAX,256
USW00012876,2014-02-28,TMIN,89
USC00085973,2013-04-08,TMIN,122
USC00085973,2006-03-25,TMAX,206
USC00085973,2007-07-30,TMIN,250
USW00012876,2006-09-29,TMIN,178
USW00012876,2006-03-07,TMAX,222
USW00012876,2011-01-29,TMIN,89
USC00084625,2008-09-14,TMIN,239
USW00012876,2007-03-26,TMIN,144
USW00012876,2007-03-26,TMAX,289
USC00089707,2008-01-13,TMAX,250
USW00012876,2008-09-27,TMIN,172
USC00084625,2009-09-14,TMIN,233
USC00085973,2014-12-17,TMIN,44
USC00089707,2005-11-10,TMIN,189
USC00084625,2013-10-27,TMAX,272
USC00085973,2013-12-12,TMIN,161
USW00012876,2011-01-29,TMAX,228
USC00085973,2007-10-09,TMAX,317
USC00084625,2013-10-27,TMIN,128
USC00084500,2011-04-04,TMAX,278
USC00085973,2013-08-15,TMAX,339
USC00085973,2013-12-12,TMAX,283
USC00084625,2010-01-16,TMIN,100
USW00012876,2005-04-22,TMIN,161
USC00085973,2007-10-09,TMIN,217
USC00083026,2010-01-14,TMIN,117
USC00085973,2015-09-05,TMAX,339
USC00083026,2010-01-14,TMAX,217
USC00084625,2014-04-20,TMAX,261
USC00084500,2014-11-22,TMIN,117
USW00012876,2007-02-06,TMAX,183
USC00085973,2007-07-11,TMIN,239
USC00085973,2009-03-02,TMIN,39
USC00084500,2014-11-09,TMIN,122
USC00089707,2007-03-02,TMIN,178
USC00084621,2015-01-12,TMIN,167
USC00084625,2010-10-17,TMAX,289
USW00012876,2007-02-06,TMIN,67
USC00085973,2015-10-12,TMAX,317
USC00083026,2008-04-19,TMAX,256
USC00084625,2008-07-19,TMIN,222
USC00084625,2012-09-18,TMIN,222
USC00083026,2008-03-13,TMIN,106
USW00012876,2011-11-18,TMAX,256
USC00084625,2014-03-23,TMAX,294
USC00085973,2007-02-18,TMIN,0
USC00085973,2007-07-11,TMAX,356
USC00084500,2014-11-22,TMAX,222
USC00084625,2014-04-20,TMIN,167
USC00083026,2005-12-17,TMIN,133
USW00012876,2015-11-08,TMIN,217
USW00012876,2007-01-25,TMAX,144
USC00084625,2014-04-17,TMIN,111
USC00085973,2006-12-20,TMIN,156
USC00083026,2010-02-22,TMAX,244
USW00012876,2010-02-07,TMAX,133
USW00012876,2007-07-29,TMIN,239
USC00084500,2013-12-13,TMIN,100
USC00084500,2013-12-13,TMAX,217
USC00089707,2006-12-21,TMAX,267
USC00084625,2005-01-26,TMAX,200
USC00084625,2008-07-28,TMAX,339
USC00084625,2010-05-18,TMAX,306
USC00084500,2014-11-09,TMAX,261
USC00084500,2015-10-13,TMIN,189
USC00084625,2008-07-19,TMAX,311
USW00012876,2011-09-09,TMIN,222
USC00089707,2006-12-21,TMIN,167
USW00012876,2011-11-18,TMIN,144
USC00085973,2014-08-26,TMAX,344
USC00084500,2012-02-18,TMIN,161
USC00085973,2014-12-17,TMAX,239
USW00012876,2006-10-02,TMIN,200
USC00085973,2012-09-28,TMAX,333
USC00083026,2010-03-31,TMIN,72
USW00012876,2005-02-24,TMIN,172
USC00084621,2015-04-16,TMAX,317
USC00084500,2012-11-03,TMAX,244
USC00085973,2012-06-16,TMIN,189
USC00085973,2012-06-16,TMAX,322
USC00085973,2005-12-21,TMIN,72
USC00085973,2011-12-06,TMAX,267
USW00012876,2011-01-13,TMAX,122
USC00085973,2015-10-12,TMIN,211
USW00012876,2011-09-09,TMAX,322
USW00012876,2006-06-06,TMIN,194
USC00084625,2005-08-30,TMAX,333
USC00084625,2005-08-02,TMAX,344
USC00085973,2008-03-22,TMAX,267
USC00084500,2015-05-15,TMIN,206
USC00085973,2012-10-29,TMAX,206
USW00012876,2006-06-06,TMAX,328
USC00084625,2005-07-09,TMIN,261
USC00084625,2005-07-09,TMAX,333
USC00085973,2011-12-06,TMIN,133
USC00084625,2010-10-17,TMIN,122
USC00085973,2012-04-29,TMIN,167
USC00083026,2005-06-30,TMIN,233
USC00085973,2005-12-21,TMAX,189
USC00084500,2012-04-22,TMIN,178
USC00084621,2015-10-28,TMAX,283
USW00012876,2015-06-09,TMIN,222
USC00085973,2012-09-28,TMIN,211
USC00084500,2012-04-22,TMAX,283
USW00012876,2013-12-15,TMIN,144
USC00084621,2015-04-16,TMIN,194
USW00012876,2008-05-16,TMIN,206
USC00084625,2013-06-22,TMIN,217
USW00012876,2008-05-16,TMAX,317
USW00012876,2013-12-15,TMAX,233
USC00084625,2010-01-16,TMAX,233
USC00084625,2005-08-02,TMIN,233
USC00083026,2006-12-03,TMIN,167
USC00083026,2005-12-17,TMAX,250
USC00089707,2007-06-02,TMAX,278
USC00085973,2012-04-29,TMAX,322
USC00084500,2012-02-18,TMAX,250
USW00012876,2007-01-25,TMIN,72
USC00084500,2011-11-26,TMAX,244
USW00012876,2009-11-01,TMIN,211
USC00089707,2006-04-27,TMAX,306
USC00085973,2013-04-10,TMIN,156
USC00084500,2013-08-01,TMIN,217
USW00012876,2010-02-07,TMIN,61
USC00084625,2009-05-22,TMIN,206
USC00085973,2014-08-26,TMIN,228
USW00012876,2014-12-22,TMIN,183
USC00084621,2015-01-12,TMAX,283
USC00085973,2009-01-23,TMAX,217
USW00012876,2014-08-12,TMAX,333
USC00084625,2005-01-23,TMIN,122
USW00012876,2011-04-04,TMIN,189
USW00012876,2014-08-01,TMAX,339
USC00084625,2009-09-19,TMIN,228
USW00012876,2014-12-22,TMAX,267
USC00085973,2015-09-21,TMAX,344
USC00083026,2005-12-13,TMIN,67
USC00084500,2014-06-11,TMIN,211
USC00084500,2012-06-11,TMAX,322
USC00084500,2012-06-11,TMIN,206
USC00084500,2013-04-28,TMAX,272
USW00012876,2013-06-10,TMIN,222
USC00085973,2015-09-02,TMAX,350
USW00012876,2013-06-10,TMAX,328
USC00084500,2012-03-02,TMAX,272
USC00089707,2005-01-18,TMAX,161
USC00084625,2009-05-22,TMAX,267
USC00085973,2010-07-02,TMAX,300
USC00089707,2005-04-03,TMAX,222
USC00084625,2005-01-23,TMAX,228
USC00089707,2005-04-03,TMIN,111
USW00012876,2011-04-04,TMAX,322
USC00085973,2006-12-20,TMAX,256
USC00084500,2013-02-07,TMIN,106
USC00084500,2012-03-02,TMIN,178
USC00084625,2014-03-23,TMIN,172
USC00089707,2005-12-03,TMAX,222
USC00085973,2006-12-29,TMIN,172
USC00084500,2011-11-26,TMIN,150
USC00085973,2005-01-01,TMIN,156
USC00085973,2005-01-01,TMAX,244
USC00084621,2015-05-29,TMIN,178
USC00089707,2006-04-27,TMIN,222
USC00084500,2013-02-02,TMIN,39
USC00084625,2013-06-22,TMAX,322
USC00084500,2013-02-02,TMAX,194
USC00084500,2011-01-23,TMAX,228
USW00012876,2007-02-04,TMAX,167
USC00084500,2011-01-23,TMIN,122
USC00085973,2006-05-30,TMIN,222
USC00084625,2011-01-10,TMAX,194
USC00084625,2015-11-11,TMAX,300
USW00012876,2006-01-09,TMAX,233
USC00083026,2007-01-31,TMIN,39
USC00084621,2015-10-28,TMIN,222
USC00084625,2008-07-28,TMIN,228
USW00012876,2012-05-20,TMAX,322
USW00012876,2012-05-20,TMIN,194
USC00084625,2013-02-04,TMAX,217
USC00085973,2011-05-29,TMAX,356
USW00012876,2008-03-02,TMIN,100
USC00084625,2013-02-04,TMIN,44
USW00012876,2015-11-08,TMAX,317
USC00085973,2013-08-17,TMAX,361
USC00085973,2006-05-30,TMAX,350
USC00084625,2015-11-11,TMIN,217
USC00083026,2006-02-19,TMAX,272
USC00084625,2012-09-18,TMAX,322
USC00083026,2006-02-19,TMIN,117
USC00085973,2014-01-21,TMIN,83
USC00084500,2014-07-15,TMAX,333
USC00084500,2014-06-11,TMAX,333
USC00084625,2011-10-01,TMIN,211
USC00089707,2006-05-28,TMAX,344
USC00084625,2011-10-01,TMAX,333
USC00085973,2007-02-18,TMAX,167
USC00083026,2005-09-05,TMAX,311
USC00085973,2010-07-13,TMAX,344
USC00085973,2005-08-07,TMIN,211
USC00084625,2009-09-19,TMAX,328
USC00083026,2010-02-22,TMIN,144
USC00084625,2011-01-10,TMIN,56
USW00012876,2006-01-09,TMIN,67
USW00012876,2007-02-04,TMIN,89
USW00012876,2015-06-09,TMAX,344
USC00085973,2010-05-06,TMAX,333
USC00084625,2015-01-02,TMIN,150
USW00012876,2013-04-10,TMAX,311
