Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2017","2017","tonnes","9040","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","234","Nuts, nes","2017","2017","ha","1296","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","234","Nuts, nes","2017","2017","hg/ha","8578","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts, nes","2017","2017","tonnes","1112","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","260","Olives","2017","2017","ha","2171","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","260","Olives","2017","2017","hg/ha","36005","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2017","2017","tonnes","7818","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","403","Onions, dry","2017","2017","ha","17721","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","403","Onions, dry","2017","2017","hg/ha","119632","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2017","2017","tonnes","212000","F","FAO estimate"
"QC","Crops","2","Afghanistan","5312","Area harvested","490","Oranges","2017","2017","ha","798","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","490","Oranges","2017","2017","hg/ha","50679","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2017","2017","tonnes","4044","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","534","Peaches and nectarines","2017","2017","ha","7465","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","534","Peaches and nectarines","2017","2017","hg/ha","77610","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2017","2017","tonnes","57936","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","521","Pears","2017","2017","ha","1680","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","521","Pears","2017","2017","hg/ha","52750","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2017","2017","tonnes","8862","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","223","Pistachios","2017","2017","ha","2262","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","223","Pistachios","2017","2017","hg/ha","12311","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2017","2017","tonnes","2784","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","536","Plums and sloes","2017","2017","ha","4022","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","536","Plums and sloes","2017","2017","hg/ha","62840","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2017","2017","tonnes","25274","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","116","Potatoes","2017","2017","ha","32116","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","116","Potatoes","2017","2017","hg/ha","159794","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2017","2017","tonnes","513194","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","211","Pulses, nes","2017","2017","ha","52243","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","211","Pulses, nes","2017","2017","hg/ha","7137","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","211","Pulses, nes","2017","2017","tonnes","37287","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2017","2017","ha","109452","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","27","Rice, paddy","2017","2017","hg/ha","30919","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2017","2017","tonnes","338420","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","328","Seed cotton","2017","2017","ha","48688","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","328","Seed cotton","2017","2017","hg/ha","11286","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","328","Seed cotton","2017","2017","tonnes","54949","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","289","Sesame seed","2017","2017","ha","15000","*","Unofficial figure"
"QC","Crops","2","Afghanistan","5419","Yield","289","Sesame seed","2017","2017","hg/ha","21333","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","289","Sesame seed","2017","2017","tonnes","32000","*","Unofficial figure"
"QC","Crops","2","Afghanistan","5312","Area harvested","723","Spices, nes","2017","2017","ha","2000","F","FAO estimate"
"QC","Crops","2","Afghanistan","5419","Yield","723","Spices, nes","2017","2017","hg/ha","32","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","723","Spices, nes","2017","2017","tonnes","6","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","157","Sugar beet","2017","2017","ha","201","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","157","Sugar beet","2017","2017","hg/ha","104577","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","157","Sugar beet","2017","2017","tonnes","2102","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","156","Sugar cane","2017","2017","ha","1145","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","156","Sugar cane","2017","2017","hg/ha","294541","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","156","Sugar cane","2017","2017","tonnes","33725","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","267","Sunflower seed","2017","2017","ha","457","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","267","Sunflower seed","2017","2017","hg/ha","15807","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","267","Sunflower seed","2017","2017","tonnes","723","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","463","Vegetables, fresh nes","2017","2017","ha","78255","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","463","Vegetables, fresh nes","2017","2017","hg/ha","90163","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2017","2017","tonnes","705568","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","222","Walnuts, with shell","2017","2017","ha","4580","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","222","Walnuts, with shell","2017","2017","hg/ha","15600","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","222","Walnuts, with shell","2017","2017","tonnes","7145","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","567","Watermelons","2017","2017","ha","64181","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","567","Watermelons","2017","2017","hg/ha","106235","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2017","2017","tonnes","681829","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","15","Wheat","2017","2017","ha","2104377","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","15","Wheat","2017","2017","hg/ha","20342","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2017","2017","tonnes","4280776","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","515","Apples","2017","2017","ha","4346","","Official data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2017","2017","hg/ha","221656","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","515","Apples","2017","2017","tonnes","96338","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","526","Apricots","2017","2017","ha","326","","Official data"
"QC","Crops","3","Albania","5419","Yield","526","Apricots","2017","2017","hg/ha","154685","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","526","Apricots","2017","2017","tonnes","5040","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","44","Barley","2017","2017","ha","3065","","Official data"
"QC","Crops","3","Albania","5419","Yield","44","Barley","2017","2017","hg/ha","29478","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","44","Barley","2017","2017","tonnes","9035","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","176","Beans, dry","2017","2017","ha","13041","","Official data"
"QC","Crops","3","Albania","5419","Yield","176","Beans, dry","2017","2017","hg/ha","16256","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","176","Beans, dry","2017","2017","tonnes","21200","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","414","Beans, green","2017","2017","ha","847","","Official data"
"QC","Crops","3","Albania","5419","Yield","414","Beans, green","2017","2017","hg/ha","121277","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","414","Beans, green","2017","2017","tonnes","10274","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","181","Broad beans, horse beans, dry","2017","2017","ha","166","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","181","Broad beans, horse beans, dry","2017","2017","hg/ha","12480","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","181","Broad beans, horse beans, dry","2017","2017","tonnes","207","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","358","Cabbages and other brassicas","2017","2017","ha","1813","","Official data"
"QC","Crops","3","Albania","5419","Yield","358","Cabbages and other brassicas","2017","2017","hg/ha","290159","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","358","Cabbages and other brassicas","2017","2017","tonnes","52600","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","426","Carrots and turnips","2017","2017","ha","378","","Official data"
"QC","Crops","3","Albania","5419","Yield","426","Carrots and turnips","2017","2017","hg/ha","316930","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","426","Carrots and turnips","2017","2017","tonnes","11974","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","393","Cauliflowers and broccoli","2017","2017","ha","245","","Official data"
"QC","Crops","3","Albania","5419","Yield","393","Cauliflowers and broccoli","2017","2017","hg/ha","216258","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","393","Cauliflowers and broccoli","2017","2017","tonnes","5294","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","531","Cherries","2017","2017","ha","2075","","Official data"
"QC","Crops","3","Albania","5419","Yield","531","Cherries","2017","2017","hg/ha","92371","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","531","Cherries","2017","2017","tonnes","19169","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","530","Cherries, sour","2017","2017","ha","3037","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","530","Cherries, sour","2017","2017","hg/ha","58024","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","530","Cherries, sour","2017","2017","tonnes","17622","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","220","Chestnut","2017","2017","ha","2306","","Official data"
"QC","Crops","3","Albania","5419","Yield","220","Chestnut","2017","2017","hg/ha","27004","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","220","Chestnut","2017","2017","tonnes","6226","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","401","Chillies and peppers, green","2017","2017","ha","2836","","Official data"
"QC","Crops","3","Albania","5419","Yield","401","Chillies and peppers, green","2017","2017","hg/ha","265219","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","401","Chillies and peppers, green","2017","2017","tonnes","75211","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","397","Cucumbers and gherkins","2017","2017","ha","2443","","Official data"
"QC","Crops","3","Albania","5419","Yield","397","Cucumbers and gherkins","2017","2017","hg/ha","451094","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","397","Cucumbers and gherkins","2017","2017","tonnes","110210","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","577","Dates","2017","2017","ha","480","","Official data"
"QC","Crops","3","Albania","5419","Yield","577","Dates","2017","2017","hg/ha","270464","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","577","Dates","2017","2017","tonnes","12978","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","399","Eggplants (aubergines)","2017","2017","ha","1115","","Official data"
"QC","Crops","3","Albania","5419","Yield","399","Eggplants (aubergines)","2017","2017","hg/ha","250183","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","399","Eggplants (aubergines)","2017","2017","tonnes","27898","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","569","Figs","2017","2017","ha","1483","","Official data"
"QC","Crops","3","Albania","5419","Yield","569","Figs","2017","2017","hg/ha","135357","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","569","Figs","2017","2017","tonnes","20077","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","512","Fruit, citrus nes","2017","2017","ha","0","","Official data"
"QC","Crops","3","Albania","5510","Production","512","Fruit, citrus nes","2017","2017","tonnes","12","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","619","Fruit, fresh nes","2017","2017","ha","316","","Official data"
"QC","Crops","3","Albania","5419","Yield","619","Fruit, fresh nes","2017","2017","hg/ha","365940","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","619","Fruit, fresh nes","2017","2017","tonnes","11568","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","406","Garlic","2017","2017","ha","966","","Official data"
"QC","Crops","3","Albania","5419","Yield","406","Garlic","2017","2017","hg/ha","150568","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","406","Garlic","2017","2017","tonnes","14544","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","560","Grapes","2017","2017","ha","10695","","Official data"
"QC","Crops","3","Albania","5419","Yield","560","Grapes","2017","2017","hg/ha","189760","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2017","2017","tonnes","202948","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","677","Hops","2017","2017","ha","2716","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","677","Hops","2017","2017","hg/ha","7615","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","677","Hops","2017","2017","tonnes","2068","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","407","Leeks, other alliaceous vegetables","2017","2017","ha","1495","","Official data"
"QC","Crops","3","Albania","5419","Yield","407","Leeks, other alliaceous vegetables","2017","2017","hg/ha","230083","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","407","Leeks, other alliaceous vegetables","2017","2017","tonnes","34393","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","497","Lemons and limes","2017","2017","ha","610","F","FAO estimate"
"QC","Crops","3","Albania","5419","Yield","497","Lemons and limes","2017","2017","hg/ha","52721","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","497","Lemons and limes","2017","2017","tonnes","3216","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","372","Lettuce and chicory","2017","2017","ha","1269","","Official data"
"QC","Crops","3","Albania","5419","Yield","372","Lettuce and chicory","2017","2017","hg/ha","135797","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","372","Lettuce and chicory","2017","2017","tonnes","17228","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","56","Maize","2017","2017","ha","58060","","Official data"
"QC","Crops","3","Albania","5419","Yield","56","Maize","2017","2017","hg/ha","65632","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","56","Maize","2017","2017","tonnes","381059","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2017","2017","ha","1648","","Official data"
"QC","Crops","3","Albania","5419","Yield","568","Melons, other (inc.cantaloupes)","2017","2017","hg/ha","264864","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","568","Melons, other (inc.cantaloupes)","2017","2017","tonnes","43654","","Official data"
"QC","Crops","3","Albania","5510","Production","449","Mushrooms and truffles","2017","2017","tonnes","100","F","FAO estimate"
"QC","Crops","3","Albania","5312","Area harvested","234","Nuts, nes","2017","2017","ha","671","","Official data"
"QC","Crops","3","Albania","5419","Yield","234","Nuts, nes","2017","2017","hg/ha","115009","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","234","Nuts, nes","2017","2017","tonnes","7720","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","75","Oats","2017","2017","ha","15390","","Official data"
"QC","Crops","3","Albania","5419","Yield","75","Oats","2017","2017","hg/ha","22136","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","75","Oats","2017","2017","tonnes","34068","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","430","Okra","2017","2017","ha","690","","Official data"
"QC","Crops","3","Albania","5419","Yield","430","Okra","2017","2017","hg/ha","116275","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","430","Okra","2017","2017","tonnes","8023","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","260","Olives","2017","2017","ha","45426","","Official data"
"QC","Crops","3","Albania","5419","Yield","260","Olives","2017","2017","hg/ha","23738","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","260","Olives","2017","2017","tonnes","107830","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","403","Onions, dry","2017","2017","ha","4948","","Official data"
"QC","Crops","3","Albania","5419","Yield","403","Onions, dry","2017","2017","hg/ha","229848","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","403","Onions, dry","2017","2017","tonnes","113736","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","402","Onions, shallots, green","2017","2017","ha","1937","","Official data"
"QC","Crops","3","Albania","5419","Yield","402","Onions, shallots, green","2017","2017","hg/ha","208554","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","402","Onions, shallots, green","2017","2017","tonnes","40393","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","490","Oranges","2017","2017","ha","220","","Official data"
"QC","Crops","3","Albania","5419","Yield","490","Oranges","2017","2017","hg/ha","415022","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","490","Oranges","2017","2017","tonnes","9130","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","534","Peaches and nectarines","2017","2017","ha","1191","","Official data"
"QC","Crops","3","Albania","5419","Yield","534","Peaches and nectarines","2017","2017","hg/ha","154196","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","534","Peaches and nectarines","2017","2017","tonnes","18359","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","521","Pears","2017","2017","ha","725","","Official data"
"QC","Crops","3","Albania","5419","Yield","521","Pears","2017","2017","hg/ha","185526","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","521","Pears","2017","2017","tonnes","13458","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","417","Peas, green","2017","2017","ha","456","","Official data"
"QC","Crops","3","Albania","5419","Yield","417","Peas, green","2017","2017","hg/ha","126068","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","417","Peas, green","2017","2017","tonnes","5749","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","536","Plums and sloes","2017","2017","ha","2492","","Official data"
"QC","Crops","3","Albania","5419","Yield","536","Plums and sloes","2017","2017","hg/ha","170282","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","536","Plums and sloes","2017","2017","tonnes","42437","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","116","Potatoes","2017","2017","ha","9948","","Official data"
"QC","Crops","3","Albania","5419","Yield","116","Potatoes","2017","2017","hg/ha","251110","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","116","Potatoes","2017","2017","tonnes","249804","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","211","Pulses, nes","2017","2017","ha","1159","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","211","Pulses, nes","2017","2017","hg/ha","6418","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","211","Pulses, nes","2017","2017","tonnes","744","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","394","Pumpkins, squash and gourds","2017","2017","ha","543","","Official data"
"QC","Crops","3","Albania","5419","Yield","394","Pumpkins, squash and gourds","2017","2017","hg/ha","255318","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","394","Pumpkins, squash and gourds","2017","2017","tonnes","13868","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","523","Quinces","2017","2017","ha","674","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","523","Quinces","2017","2017","hg/ha","61570","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","523","Quinces","2017","2017","tonnes","4150","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","27","Rice, paddy","2017","2017","ha","0","","Official data"
"QC","Crops","3","Albania","5510","Production","27","Rice, paddy","2017","2017","tonnes","0","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","71","Rye","2017","2017","ha","1189","","Official data"
"QC","Crops","3","Albania","5419","Yield","71","Rye","2017","2017","hg/ha","22666","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","71","Rye","2017","2017","tonnes","2695","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","328","Seed cotton","2017","2017","ha","519","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","328","Seed cotton","2017","2017","hg/ha","10439","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","328","Seed cotton","2017","2017","tonnes","542","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","83","Sorghum","2017","2017","ha","0","","Official data"
"QC","Crops","3","Albania","5510","Production","83","Sorghum","2017","2017","tonnes","0","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","236","Soybeans","2017","2017","ha","227","","Official data"
"QC","Crops","3","Albania","5419","Yield","236","Soybeans","2017","2017","hg/ha","22026","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","236","Soybeans","2017","2017","tonnes","500","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","723","Spices, nes","2017","2017","ha","417","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","723","Spices, nes","2017","2017","hg/ha","8644","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","723","Spices, nes","2017","2017","tonnes","360","Im","FAO data based on imputation methodology"
