,state,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost
37,NY,2,0,1,f,2.0,32,30,0,3.0,2.0,1,1,3,3,1,0,2,733
38,WA,1,1,8,h,0.0,46,46,0,2.0,1.0,1,1,3,3,1,1,1,668
39,WA,1,1,8,g,0.0,46,46,0,2.0,1.0,1,1,3,3,1,1,1,667
40,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,0,1,1,0,2,2,575
41,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,0,3,3,1,1,1,600
42,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,1,3,3,1,1,1,605
43,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,3,3,0,0,2,564
44,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,585
45,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,590
46,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,585
47,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570
48,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570
49,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570
50,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,3,3,1,2,3,622
51,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,2,3,629
52,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,630
53,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,624
54,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,617
55,AL,1,1,26,c,1.0,75,75,0,1.0,3.0,0,0,1,1,0,0,2,551
56,AL,1,1,26,c,1.0,75,75,0,1.0,3.0,0,0,1,1,0,0,2,555
57,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,1,1,3,3,0,1,2,616
58,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,0,0,3,3,0,0,2,605
59,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,0,0,3,3,0,0,2,597
60,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,631
61,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,638
62,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,638
63,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,628
64,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,628
65,FL,1,0,7,g,2.0,24,24,0,2.0,3.0,1,1,1,3,1,2,3,691
66,FL,1,0,7,g,2.0,24,24,0,2.0,9.0,1,1,1,3,1,2,3,670
67,NV,2,1,1,g,2.0,54,50,1,3.0,15.0,2,1,3,3,1,1,3,591
68,NV,2,1,1,g,2.0,54,50,1,3.0,15.0,2,1,3,3,1,1,3,603
69,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,0,3,3,0,2,2,560
70,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,1,3,3,1,1,2,571
71,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,1,3,3,1,1,2,583
72,NE,2,1,7,g,3.0,33,31,1,3.0,6.0,1,1,3,3,1,2,2,597
73,NE,2,1,7,g,3.0,33,31,1,3.0,6.0,1,0,3,3,0,2,1,581
74,AR,1,0,5,d,0.0,28,28,0,2.0,4.0,1,0,2,2,0,0,2,644
75,AR,1,0,5,d,0.0,28,28,0,2.0,4.0,1,0,2,2,0,0,2,644
76,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,0,0,1,1,0,0,2,517
77,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,0,0,1,1,0,0,2,517
78,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,1,1,2,1,1,2,2,613
79,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,1,1,2,1,1,2,2,616
80,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,0,3,3,0,2,2,605
81,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,0,3,3,0,2,2,605
82,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,1,4,3,0,2,2,615
83,MO,2,0,9,d,0.0,49,49,0,3.0,14.0,1,1,2,3,0,1,3,616
84,MO,2,0,9,d,0.0,49,49,0,3.0,14.0,1,1,2,3,0,1,1,598
85,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,2,639
86,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642
87,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642
88,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642
89,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,2,2,0,2,4,693
90,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,2,2,0,2,3,675
91,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,3,3,0,2,3,670
92,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,3,3,0,2,3,675
93,OK,1,1,14,f,0.0,20,20,0,0.0,0.0,0,0,1,1,0,0,2,647
94,OK,1,1,14,f,0.0,20,20,0,0.0,0.0,1,0,1,2,0,2,2,751
95,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
96,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,690
97,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
98,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
99,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
100,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,4,649
101,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,4,649
102,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,1,630
103,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,0,2,3,0,1,1,622
104,KY,1,0,7,e,0.0,29,23,1,1.0,2.0,1,0,3,3,0,2,1,665
105,KY,1,0,7,e,0.0,29,23,1,1.0,2.0,1,0,1,3,0,2,1,645
106,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,1,1,0,2,3,693
107,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,1,1,0,2,3,693
108,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714
109,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714
110,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714
111,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,729
112,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,729
113,CO,2,1,5,e,0.0,44,42,1,2.0,5.0,1,0,1,1,0,2,2,574
114,CO,2,1,5,e,0.0,44,42,1,2.0,5.0,1,0,1,1,0,2,2,574
115,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,2,0,3,3,0,3,3,584
116,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
117,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
118,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
119,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
120,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
121,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,1,0,3,3,1,1,1,619
122,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,1,0,3,3,1,1,2,638
123,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,0,0,3,3,0,0,2,591
124,UT,2,1,3,d,0.0,50,19,0,0.0,0.0,1,0,2,2,0,2,2,749
125,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,2,2,0,2,1,657
126,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,2,2,1,1,1,660
127,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,1,2,1,1,1,656
128,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,0,0,1,1,0,0,2,529
129,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,0,0,1,1,0,0,2,529
130,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,3,3,1,2,3,625
131,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,3,3,1,2,3,629
132,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,2,2,1,2,3,629
133,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,1,3,3,1,1,2,669
134,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,0,1,2,0,1,2,652
135,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,0,1,2,0,1,3,668
136,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,2,695
137,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,2,695
138,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,640
139,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,641
140,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,635
141,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,628
142,PA,1,0,10,f,0.0,42,42,0,1.0,1.0,1,0,3,2,0,2,1,685
143,PA,1,0,10,f,0.0,42,42,0,1.0,1.0,1,0,3,2,0,2,1,676
144,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,1,0,2,3,0,2,1,664
145,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,1,0,2,3,0,2,1,673
146,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,0,0,2,3,0,2,1,659
147,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,4,676
148,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670
149,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670
150,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670
151,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,597
152,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,599
153,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603
154,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603
155,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603
156,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,1,661
157,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,3,674
158,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,3,674
159,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,0,0,1,1,0,0,4,574
160,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,1,1,2,3,0,2,2,621
161,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,1,1,2,3,0,2,2,621
162,CO,2,1,6,g,3.0,34,33,1,3.0,7.0,1,1,3,3,1,2,4,624
163,CO,2,1,6,g,3.0,34,33,1,3.0,7.0,1,1,3,3,1,2,2,627
164,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,0,1,1,0,2,3,644
165,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,1,1,1,0,2,3,636
166,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,1,1,1,0,2,3,642
167,OK,1,1,17,f,0.0,33,33,0,0.0,0.0,0,0,1,1,0,0,2,588
168,OK,1,1,17,f,0.0,33,33,0,0.0,0.0,0,0,1,1,0,0,2,588
169,OK,1,1,17,f,0.0,33,33,0,1.0,1.0,0,0,1,1,0,0,4,583
170,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,0,0,1,2,0,0,2,552
171,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,2,617
172,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,3,621
173,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,3,625
174,WA,1,0,11,g,0.0,43,43,0,1.0,2.0,1,0,1,2,0,1,1,689
175,WA,1,0,11,g,0.0,43,43,0,1.0,2.0,1,0,1,2,0,1,1,683
176,TN,1,1,21,d,3.0,60,58,1,2.0,15.0,1,1,3,3,0,2,3,563
177,TN,1,1,21,d,3.0,60,58,1,2.0,15.0,0,1,2,3,0,0,2,513
178,KY,1,1,14,f,4.0,24,24,0,3.0,8.0,1,1,2,2,1,2,4,630
179,KY,1,1,14,f,4.0,24,24,0,3.0,8.0,1,1,2,2,1,2,4,621
180,FL,1,1,4,f,2.0,32,32,0,4.0,1.0,2,0,3,3,0,3,3,686
181,FL,1,1,4,f,2.0,32,32,0,4.0,1.0,2,0,3,3,0,3,3,686
182,NY,2,1,6,d,2.0,63,63,1,3.0,8.0,0,0,3,3,0,0,2,626
183,NY,2,1,6,d,2.0,63,63,1,3.0,8.0,1,1,3,3,1,0,1,660
184,FL,2,1,1,g,1.0,63,62,1,4.0,1.0,1,0,3,3,1,2,4,607
185,FL,2,1,1,g,1.0,63,62,1,4.0,1.0,1,0,4,3,1,1,3,648
186,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,1,1,3,3,1,1,4,633
187,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,627
188,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,627
189,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,634
190,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,634
191,CT,1,1,7,e,4.0,45,45,0,4.0,14.0,1,0,3,3,0,0,1,617
192,CT,1,1,7,e,4.0,45,45,0,4.0,14.0,1,0,3,3,0,0,1,618
193,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,629
194,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,631
195,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,634
196,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,631
197,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,631
198,FL,1,0,7,i,4.0,45,45,0,3.0,13.0,2,0,1,1,0,3,4,700
199,FL,1,0,7,i,4.0,45,45,0,3.0,13.0,2,0,1,2,0,3,4,696
200,FL,1,0,7,i,4.0,45,45,0,3.0,13.0,2,0,1,2,0,3,4,696
201,OH,1,0,2,f,0.0,58,58,0,3.0,15.0,1,0,3,3,0,2,3,644
202,OH,1,0,2,f,0.0,58,58,0,3.0,15.0,1,0,3,3,0,2,3,643
203,OH,1,0,2,f,0.0,58,58,0,3.0,15.0,1,0,3,3,0,2,3,639
204,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,1,1,1,2,1,2,2,698
205,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,629
206,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,638
207,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,622
208,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,621
209,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,622
210,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,628
211,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,622
212,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,642
213,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,622
214,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,4,640
215,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,4,640
216,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,4,640
217,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,2,637
218,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,3,643
219,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,605
220,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,614
221,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,614
222,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,621
223,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,614
224,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,1,1,3,3,0,2,1,647
225,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,1,1,3,3,0,2,1,628
226,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,2,1,1,2,0,3,1,596
227,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,2,1,1,2,0,1,1,605
228,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,2,1,1,2,0,1,1,605
229,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,4,547
230,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
231,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
232,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
233,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
234,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,0,3,3,0,1,3,690
235,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,670
236,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
237,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
238,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
239,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
240,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
241,UT,2,1,14,,0.0,46,43,1,0.0,0.0,1,1,1,2,0,1,2,681
242,UT,2,1,14,,0.0,46,43,1,0.0,0.0,0,0,1,2,0,0,2,599
243,UT,2,1,14,g,0.0,46,43,1,1.0,1.0,0,0,1,2,0,0,2,572
244,ID,2,0,3,d,1.0,58,23,0,3.0,2.0,1,1,3,3,0,2,4,634
245,ID,2,0,3,d,1.0,58,23,0,3.0,2.0,1,1,3,3,0,2,4,634
246,ID,2,0,3,d,1.0,58,23,0,3.0,2.0,1,1,3,3,0,2,4,634
247,KY,1,0,2,d,2.0,32,32,0,2.0,2.0,1,1,1,3,1,2,4,615
248,KY,1,0,2,d,2.0,32,32,0,2.0,2.0,1,1,1,3,1,2,4,621
249,AR,2,1,10,f,0.0,46,21,0,0.0,0.0,0,0,1,1,0,0,2,622
250,AR,2,1,10,f,0.0,46,21,0,1.0,6.0,0,0,1,1,0,0,4,599
251,FL,1,0,7,d,3.0,23,23,0,1.0,5.0,1,1,3,3,1,1,3,744
252,FL,1,0,7,d,3.0,23,23,0,1.0,5.0,2,0,1,3,0,3,3,706
253,GA,1,0,3,e,0.0,55,55,0,1.0,9.0,1,1,3,3,1,2,2,708
254,GA,1,0,3,e,0.0,55,55,0,1.0,9.0,1,1,2,3,1,2,2,692
255,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,0,1,1,599
256,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,1,1,3,610
257,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,1,1,3,610
258,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,0,1,1,591
259,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,1,0,2,2,0,2,2,626
260,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,1,0,2,2,0,2,2,626
261,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,0,0,2,2,0,0,2,570
262,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,0,0,2,2,0,0,2,570
263,GA,1,1,2,f,0.0,37,37,0,1.0,5.0,0,0,2,2,0,0,4,572
264,GA,1,1,2,f,0.0,37,37,0,1.0,5.0,1,1,2,2,1,2,4,635
265,NY,1,1,5,d,2.0,54,54,0,4.0,0.0,1,0,3,3,0,0,1,629
266,NY,1,1,5,d,2.0,54,54,0,4.0,0.0,1,0,3,3,0,0,2,632
267,NY,2,1,5,d,2.0,75,54,0,4.0,0.0,1,0,3,3,0,0,2,688
268,NY,1,1,5,d,2.0,75,54,0,4.0,0.0,1,0,3,3,0,0,2,643
269,ME,1,0,9,e,0.0,53,53,0,2.0,11.0,0,0,2,2,0,0,1,544
270,ME,1,0,9,e,0.0,53,53,0,2.0,11.0,1,0,2,2,0,2,1,586
271,TN,1,0,8,g,0.0,42,42,0,1.0,2.0,1,1,1,3,1,2,2,662
272,TN,1,0,8,g,0.0,42,42,0,1.0,2.0,1,1,1,3,1,2,2,662
273,TN,1,0,8,g,0.0,42,42,0,1.0,2.0,1,1,1,3,1,2,2,665
274,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,667
275,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,665
276,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,665
277,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,651
278,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,652
279,OH,3,1,15,g,0.0,42,18,1,3.0,1.0,0,0,3,3,0,0,2,614
280,OH,3,1,15,g,0.0,42,18,1,3.0,1.0,0,0,3,3,0,0,2,614
281,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,4,595
282,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,3,592
283,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,3,595
284,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,3,595
285,MO,1,0,4,f,3.0,28,28,0,3.0,1.0,1,1,3,3,0,2,2,602
286,MO,1,0,4,f,3.0,28,28,0,3.0,1.0,1,1,3,3,0,2,2,602
287,TN,1,1,3,f,0.0,50,50,0,1.0,6.0,1,0,2,2,0,2,3,624
288,TN,1,1,3,f,0.0,50,50,0,1.0,6.0,1,1,1,1,1,2,1,619
289,OH,1,0,10,e,0.0,35,35,0,1.0,4.0,1,1,3,3,1,1,3,636
290,OH,1,0,10,e,0.0,35,35,0,1.0,4.0,0,0,2,3,0,1,3,595
291,IA,1,0,8,f,0.0,37,37,0,4.0,3.0,1,0,3,3,0,2,2,570
292,IA,1,0,8,f,0.0,37,37,0,4.0,3.0,1,0,3,3,0,2,2,570
293,IA,1,0,8,f,0.0,37,37,0,4.0,3.0,1,0,3,3,0,2,2,567
